"scene","mode","config","query_mode","emitted_photons","gather_radius","photon_build_s","render_s","stored_photons","hit_rate_pct","avg_per_query","avg_per_hit","max_in_query","fallback_indirect"
"CBbunny","baseline","Baseline","N/A",,"N/A",,"25.2761",,,,,,
"CBbunny","linear_lowN","LowN","Linear","16384","0.10","0.0172","34.1351","564","54.4","0.87","1.59","7","43983386"
"CBbunny","kd_lowN","LowN","KD-Tree","16384","0.10","0.0235","30.5964","564","54.4","0.87","1.59","7","43993862"
"CBbunny","linear_midN","MidN","Linear","65536","0.10","0.0717","66.4687","2213","92.8","3.45","3.72","19","43092634"
"CBbunny","kd_midN","MidN","KD-Tree","65536","0.10","0.0711","36.0601","2213","92.8","3.45","3.72","19","43146670"
"CBbunny","linear_highN","HighN","Linear","196608","0.10","0.2479","123.6479","6866","98.7","10.11","10.24","24","28121271"
"CBbunny","kd_highN","HighN","KD-Tree","196608","0.10","0.2636","30.0839","6866","98.7","10.11","10.23","24","28142603"
"CBbunny","linear_highN_lowRad","HighN LowRad","Linear","196608","0.057735","0.2442","182.9441","6866","94.8","3.8","4","18","42889921"
"CBbunny","kd_highN_lowRad","HighN LowRad","KD-Tree","196608","0.057735","0.2608","36.0675","6866","94.8","3.8","4","18","42931800"
"CBbunny","linear_superhighN","SuperHighN","Linear","393216","0.10","0.4532","121.6878","13750","99.3","15.9","16.01","24","9756308"
"CBbunny","kd_superhighN","SuperHighN","KD-Tree","393216","0.10","0.473","17.291","13750","99.3","15.9","16.02","24","9771611"
"CBbunny","linear_superhighN_lowRad","SuperHighN LowRad","Linear","393216","0.057735","0.4242","307.0642","13750","98.5","7.38","7.49","24","36249868"
"CBbunny","kd_superhighN_lowRad","SuperHighN LowRad","KD-Tree","393216","0.057735","0.4387","35.513","13750","98.5","7.38","7.49","24","36246900"
"CBbunny","linear_superhighN_superlowRad","SuperHighN SuperLowRad","Linear","393216","0.040825","0.4262","357.6874","13750","95.4","3.88","4.06","20","42907412"
"CBbunny","kd_superhighN_superlowRad","SuperHighN SuperLowRad","KD-Tree","393216","0.040825","0.472","38.2662","13750","95.4","3.88","4.06","20","42957786"
"CBbunny","kd_bonus15x_rad05","Bonus 15x","KD-Tree","983040","0.05","1.1652","26.5384","34588","99.2","13.07","13.17","24","20428073"
"CBspheres_lambertian","baseline","Baseline","N/A",,"N/A",,"27.5369",,,,,,
"CBspheres_lambertian","linear_lowN","LowN","Linear","16384","0.10","0.0091","34.0644","564","53.1","0.88","1.66","8","47631991"
"CBspheres_lambertian","kd_lowN","LowN","KD-Tree","16384","0.10","0.0106","28.3085","564","53.1","0.88","1.66","8","47643169"
"CBspheres_lambertian","linear_midN","MidN","Linear","65536","0.10","0.0481","66.6733","2303","94.2","3.77","4","18","46682590"
"CBspheres_lambertian","kd_midN","MidN","KD-Tree","65536","0.10","0.0374","32.5864","2303","94.2","3.77","4","18","46725351"
"CBspheres_lambertian","linear_highN","HighN","Linear","196608","0.10","0.1057","127.5278","6898","99","10.58","10.69","24","30879582"
"CBspheres_lambertian","kd_highN","HighN","KD-Tree","196608","0.10","0.1172","27.5314","6898","99","10.58","10.69","24","30878446"
"CBspheres_lambertian","linear_highN_lowRad","HighN LowRad","Linear","196608","0.057735","0.1217","189.8421","6898","93.5","3.82","4.08","18","46704845"
"CBspheres_lambertian","kd_highN_lowRad","HighN LowRad","KD-Tree","196608","0.057735","0.1198","33.2509","6898","93.5","3.82","4.08","18","46714656"
"CBspheres_lambertian","linear_superhighN","SuperHighN","Linear","393216","0.10","0.2277","113.3973","13669","98.9","16.23","16.42","24","10057165"
"CBspheres_lambertian","kd_superhighN","SuperHighN","KD-Tree","393216","0.10","0.2437","13.8144","13669","98.9","16.23","16.41","24","10037961"
"CBspheres_lambertian","linear_superhighN_lowRad","SuperHighN LowRad","Linear","393216","0.057735","0.2167","320.6769","13669","97.5","7.34","7.53","24","40766820"
"CBspheres_lambertian","kd_superhighN_lowRad","SuperHighN LowRad","KD-Tree","393216","0.057735","0.2173","31.8622","13669","97.5","7.34","7.53","24","40765998"
"CBspheres_lambertian","linear_superhighN_superlowRad","SuperHighN SuperLowRad","Linear","393216","0.040825","0.2488","363.1486","13669","93.2","3.79","4.06","18","46692091"
"CBspheres_lambertian","kd_superhighN_superlowRad","SuperHighN SuperLowRad","KD-Tree","393216","0.040825","0.2134","33.9755","13669","93.2","3.79","4.06","18","46711776"
"CBdragon","baseline","Baseline","N/A",,"N/A",,"29.2821",,,,,,
"CBdragon","linear_lowN","LowN","Linear","16384","0.10","0.0204","37.7279","524","59","0.95","1.61","8","45847657"
"CBdragon","kd_lowN","LowN","KD-Tree","16384","0.10","0.0219","41.5095","524","59.1","0.95","1.61","8","45871135"
"CBdragon","linear_midN","MidN","Linear","65536","0.10","0.0822","65.2398","2075","94.9","3.85","4.06","17","44691110"
"CBdragon","kd_midN","MidN","KD-Tree","65536","0.10","0.0775","39.7878","2075","94.9","3.85","4.06","17","44716914"
"CBdragon","linear_highN","HighN","Linear","196608","0.10","0.3034","114.2059","6179","99.3","10.67","10.75","24","29946832"
"CBdragon","kd_highN","HighN","KD-Tree","196608","0.10","0.2967","32.9953","6179","99.3","10.67","10.75","24","29963871"
"CBdragon","linear_highN_lowRad","HighN LowRad","Linear","196608","0.057735","0.2628","155.992","6179","95.1","3.85","4.05","18","45034674"
"CBdragon","kd_highN_lowRad","HighN LowRad","KD-Tree","196608","0.057735","0.2488","37.2233","6179","95.1","3.85","4.05","19","45018162"
"CBdragon","linear_superhighN","SuperHighN","Linear","393216","0.10","0.4859","92.8551","12341","99.6","17.42","17.49","24","10731992"
"CBdragon","kd_superhighN","SuperHighN","KD-Tree","393216","0.10","0.5765","18.035","12341","99.6","17.42","17.49","24","10731922"
"CBdragon","linear_superhighN_lowRad","SuperHighN LowRad","Linear","393216","0.057735","0.4887","263.6628","12341","98.7","7.44","7.54","24","38589035"
"CBdragon","kd_superhighN_lowRad","SuperHighN LowRad","KD-Tree","393216","0.057735","0.5034","37.5709","12341","98.7","7.44","7.53","24","38551041"
"CBdragon","linear_superhighN_superlowRad","SuperHighN SuperLowRad","Linear","393216","0.040825","0.5262","303.7027","12341","95.4","3.85","4.04","19","45028301"
"CBdragon","kd_superhighN_superlowRad","SuperHighN SuperLowRad","KD-Tree","393216","0.040825","0.4993","40.1985","12341","95.4","3.85","4.04","19","45014885"
